SimTime,tb_top.ch_out,tb_top.adc_out[5:0]
0.732,-0.24235047287617992,36
0.733,-0.23500871127500561,36
0.734,-0.22713431631541145,36
0.735,-0.21876840284952104,36
0.736,-0.20995505258561309,36
0.737,-0.20074051792870015,36
0.738,-0.19117245703236271,36
0.739,-0.18129921114679282,36
0.74,-0.17116913324364685,36
0.741,-0.16082997488495793,36
0.742,-0.15032833640583401,36
0.743,-0.13970918371881128,36
0.744,-0.1290154334366411,36
0.745,-0.11828760656062101,36
0.746,-0.10756354969987697,36
0.747,-0.096878221676070964,36
0.748,-0.086263542427297224,36
0.749,-0.075748300350957851,36
0.75,-0.065358113612147523,27
0.751,-0.055115440483378936,27
0.752,-0.045039633463458004,27
0.753,-0.035147031736735911,27
0.754,-0.025451086466582784,27
0.755,-0.015962513455854921,27
0.756,-0.0066894678391059698,27
0.757,0.0023622643170094354,27
0.758,0.011189062350438372,27
0.759,0.0197892597908262,27
0.76,0.028162929736747916,27
0.761,0.036311670559260253,27
0.762,0.044238395245084952,27
0.763,0.051947127260310214,27
0.764,0.059442805382313363,27
0.765,0.066731099521425918,27
0.766,0.073818239141406755,27
0.767,0.080710855494748573,27
0.768,0.08741583851988953,27
0.769,0.093940208906235431,27
0.77,0.10029100552228398,27
0.771,0.10647518812398928,27
0.772,0.11249955501591261,27
0.773,0.11837067512706076,27
0.774,0.12409483378634834,27
0.775,0.12967799133851332,27
0.776,0.13512575362875148,27
0.777,0.14044335330160526,27
0.778,0.14563564080470764,27
0.779,0.15070708395855165,27
0.78,0.15566177494706404,27
0.781,0.16050344359782195,27
0.782,0.16523547585261855,27
0.783,0.16986093637612062,27
0.784,0.17438259430995806,27
0.785,0.1788029512492306,27
0.786,0.18312427059571501,27
0.787,0.18734860752475022,27
0.788,0.19147783888879433,27
0.789,0.19551369246808853,27
0.79,0.19945777506603396,27
0.791,0.20331159903229531,27
0.792,0.20707660687900639,27
0.793,0.21075419373368692,27
0.794,0.21434572744570504,27
